Data,PETR4- State,PETR4- Var%,BOVA11- State,BOVA11- Var%,ITUB4- State,ITUB4- Var%,VALE3- State,VALE3- Var%,BBAS3- State,BBAS3- Var%
31/10/17,0,-0.06%,0,0.42%,0,-2.43%,0,-0.78%,1,-2.18%
01/11/17,0,0.75%,0,0.40%,0,-1.69%,0,2.26%,0,-1.27%
03/11/17,0,0.25%,0,-0.26%,0,1.39%,0,2.18%,0,-1.80%
06/11/17,0,2.89%,0,1.39%,0,0.44%,0,2.38%,0,-0.79%
07/11/17,-1,-5.32%,0,-1.58%,0,-2.37%,0,-2.39%,0,-5.03%
08/11/17,1,2.72%,0,0.77%,0,3.66%,0,1.26%,1,5.26%
09/11/17,0,-1.35%,0,-1.86%,-1,-2.70%,0,-3.35%,-1,-2.58%
10/11/17,0,0.00%,0,-0.56%,0,0.16%,0,-0.10%,0,-2.96%
13/11/17,0,-0.50%,0,0.88%,0,0.49%,0,1.12%,0,0.14%
14/11/17,0,-7.71%,0,0.24%,0,-1.90%,0,-2.95%,0,-2.38%
16/11/17,1,2.99%,0,3.02%,0,2.52%,0,1.37%,0,4.73%
17/11/17,0,1.32%,0,-0.38%,0,1.37%,0,0.97%,-1,1.68%
21/11/17,0,-0.78%,0,0.50%,0,1.99%,0,3.45%,0,1.71%
22/11/17,0,1.38%,0,1.24%,0,-0.97%,0,2.01%,0,-0.56%
23/11/17,0,0.45%,0,2.69%,0,-0.28%,0,1.33%,0,0.13%
24/11/17,0,-0.52%,0,-0.78%,0,-0.95%,0,1.67%,0,-0.56%
27/11/17,0,-1.49%,0,-1.36%,0,0.60%,0,-1.06%,0,-1.34%
28/11/17,0,-0.13%,0,3.19%,0,0.20%,0,2.38%,0,1.49%
29/11/17,0,-3.22%,0,0.29%,0,-2.09%,0,-1.51%,0,-4.53%
30/11/17,0,0.27%,0,2.13%,0,-1.45%,0,-1.59%,0,-3.95%
01/12/17,0,1.56%,0,0.05%,0,-0.04%,0,0.99%,0,2.84%
04/12/17,0,-0.87%,0,-1.51%,0,1.47%,0,3.79%,0,2.44%
05/12/17,0,-1.08%,0,1.32%,0,-0.61%,0,-2.20%,0,-1.45%
06/12/17,0,1.36%,0,-0.34%,0,1.06%,0,-0.73%,0,3.01%
07/12/17,0,-1.68%,0,5.27%,0,-0.32%,0,-1.18%,0,-3.88%
08/12/17,0,0.61%,0,-0.67%,0,0.85%,0,0.42%,0,0.60%
11/12/17,0,0.14%,0,2.80%,0,0.28%,0,0.77%,0,-0.81%
12/12/17,0,0.75%,0,-2.35%,0,0.80%,0,1.18%,0,2.23%
13/12/17,0,-2.02%,0,-1.81%,0,-2.22%,0,-0.20%,0,-2.39%
14/12/17,0,-1.10%,0,0.17%,0,-1.58%,0,0.38%,0,-0.39%
15/12/17,0,-0.42%,0,-0.18%,0,0.33%,0,1.80%,0,0.53%
18/12/17,0,1.81%,0,-0.78%,0,0.00%,0,2.57%,0,1.35%
19/12/17,0,-0.55%,0,1.68%,0,-0.57%,0,0.03%,0,-0.60%
20/12/17,0,0.69%,0,-0.26%,0,0.37%,0,3.45%,0,0.07%
21/12/17,0,4.10%,0,-0.06%,0,4.23%,0,1.48%,0,1.13%
22/12/17,-1,-0.72%,1,-0.67%,-1,-0.47%,0,1.22%,0,0.35%
26/12/17,0,1.39%,0,-0.42%,0,0.40%,0,0.16%,0,1.07%
