Data,Último,Var%
20/07/17,62.75,-0.54%
20/07/18,75.8,1.54%
20/07/20,100.5,1.38%
20/08/18,73.68,0.45%
20/08/19,95.54,-0.24%
20/08/20,97.67,0.69%
20/09/17,73.46,0.01%
20/09/18,75.33,0.08%
20/09/19,100.76,0.32%
20/10/17,73.6,-0.26%
20/12/17,70.9,1.04%
20/12/18,82.42,-0.10%
20/12/19,110.84,0.02%
21/01/19,92.64,0.03%
21/01/20,112.65,-1.54%
21/02/17,66.89,0.81%
21/02/18,83.04,0.12%
21/02/19,93.58,0.44%
21/02/20,109.45,-0.68%
21/03/17,60.98,-2.91%
21/03/18,82.09,0.85%
21/03/19,93.01,-1.42%
21/05/18,79.2,-1.26%
21/05/19,91.19,2.66%
21/05/20,79.97,1.94%
21/06/17,58.78,0.07%
21/06/18,67.66,-2.66%
21/06/19,98.22,1.65%
21/07/17,62.53,-0.35%
21/07/20,100.29,-0.21%
21/08/17,66.45,-0.03%
21/08/18,72.51,-1.59%
21/08/19,97.53,2.08%
21/08/20,97.6,-0.07%
21/09/17,73.07,-0.53%
21/09/18,76.5,1.55%
21/10/19,102,1.24%
21/11/17,72,1.54%
21/11/18,84.28,-0.02%
21/11/19,103.5,1.51%
21/12/17,72.54,2.31%
21/12/18,82.44,0.02%
22/01/18,78.84,0.54%
22/01/19,91.4,-1.34%
22/01/20,114.1,1.29%
22/02/17,66.48,-0.61%
22/02/18,83.75,0.86%
22/02/19,94.44,0.92%
22/03/17,61.37,0.64%
22/03/18,81.79,-0.37%
22/03/19,90.25,-2.97%
22/04/19,91.2,0.04%
22/04/20,77.7,2.70%
22/05/17,59.53,-1.78%
22/05/18,80,1.01%
22/05/19,90.96,-0.25%
22/05/20,79.94,-0.04%
22/06/17,59.35,0.97%
22/06/18,68.18,0.77%
22/06/20,91.75,-0.96%
22/07/19,100,0.40%
22/07/20,100.38,0.09%
22/08/17,67.78,2.00%
22/08/18,74.15,2.26%
22/08/19,96.35,-1.21%
22/09/17,72.82,-0.34%
22/10/18,82.62,1.72%
22/10/19,103.24,1.22%
22/11/17,71.9,-0.14%
22/11/18,84.3,0.02%
22/11/19,104.6,1.06%
22/12/17,72.7,0.22%
23/01/17,63.8,1.97%
23/01/18,77.8,-1.32%
23/01/19,93.1,1.86%
23/01/20,115.21,0.97%
23/02/17,65.32,-1.74%
23/02/18,84.29,0.64%
23/03/17,61.54,0.28%
23/03/18,81.58,-0.26%
23/03/20,61.14,-5.60%
23/04/18,82.7,-0.05%
23/04/19,92.37,1.28%
23/04/20,76.65,-1.35%
23/05/17,60.74,2.03%
23/05/18,78.25,-2.19%
23/05/19,90.43,-0.58%
23/06/17,59.1,-0.42%
23/06/20,92.26,0.56%
23/07/18,75.25,-0.73%
23/07/19,100.1,0.10%
23/07/20,98.4,-1.97%
23/08/17,68.2,0.62%
23/08/18,73.03,-1.51%
23/08/19,94.02,-2.42%
23/09/19,100.78,0.02%
23/10/17,72.93,-0.91%
23/10/18,82.29,-0.40%
23/10/19,103.4,0.15%
23/11/17,71.93,0.04%
23/11/18,83.03,-1.51%
23/12/19,111.67,0.75%
24/01/17,63.91,0.17%
24/01/18,80.83,3.89%
24/01/19,94.17,1.15%
24/01/20,114,-1.05%
24/02/17,64.5,-1.26%
24/03/17,61.88,0.55%
24/03/20,67.4,10.24%
24/04/17,62.29,1.27%
24/04/18,82.48,-0.27%
24/04/19,91.6,-0.83%
24/04/20,72.41,-5.53%
24/05/17,61.17,0.71%
24/05/18,77.45,-1.02%
24/05/19,90.25,-0.20%
24/06/19,98.31,0.09%
24/06/20,90.77,-1.62%
24/07/17,62.93,0.64%
24/07/18,76.5,1.66%
24/07/19,100.39,0.29%
24/07/20,98.59,0.19%
24/08/17,68.84,0.94%
24/08/18,73.68,0.89%
24/09/18,75.2,-1.70%
24/09/19,100,-0.77%
24/10/17,73.86,1.28%
24/10/18,80.15,-2.60%
24/10/19,103,-0.39%
24/11/17,71.63,-0.42%
25/02/19,93.77,-0.71%
25/03/19,90.35,0.11%
25/03/20,71.73,6.42%
25/04/17,63,1.14%
25/04/18,82.08,-0.48%
25/04/19,92.9,1.42%
25/05/17,61.29,0.20%
25/05/18,76.3,-1.48%
25/05/20,82.6,3.33%
25/06/18,68.6,0.62%
25/06/19,96.36,-1.98%
25/06/20,92.39,1.78%
25/07/17,63.48,0.87%
25/07/18,77.37,1.14%
25/07/19,98.8,-1.58%
25/08/17,68.65,-0.28%
25/09/17,71.9,-1.26%
25/09/18,75.88,0.90%
25/09/19,100.45,0.45%
25/10/17,74.01,0.20%
25/10/18,81.03,1.10%
25/10/19,103.37,0.36%
25/11/19,104.25,-0.33%
26/01/17,64.2,0.45%
26/01/18,82.65,2.25%
26/02/18,84.72,0.51%
26/02/19,94.12,0.37%
